Month,Interest
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,1
2013-07,1
2013-08,1
2013-09,0
2013-10,3
2013-11,0
2013-12,3
2014-01,1
2014-02,3
2014-03,2
2014-04,4
2014-05,4
2014-06,8
2014-07,8
2014-08,11
2014-09,10
2014-10,9
2014-11,16
2014-12,9
2015-01,13
2015-02,19
2015-03,16
2015-04,20
2015-05,18
2015-06,19
2015-07,26
2015-08,17
2015-09,23
2015-10,24
2015-11,29
2015-12,24
2016-01,23
2016-02,29
2016-03,34
2016-04,38
2016-05,37
2016-06,39
2016-07,34
2016-08,34
2016-09,35
2016-10,42
2016-11,51
2016-12,44
2017-01,47
2017-02,56
2017-03,59
2017-04,63
2017-05,62
2017-06,61
2017-07,64
2017-08,68
2017-09,68
2017-10,61
2017-11,70
2017-12,58
2018-01,71
2018-02,74
2018-03,73
2018-04,79
2018-05,81
2018-06,75
2018-07,83
2018-08,86
2018-09,86
2018-10,81
2018-11,72
2018-12,67
2019-01,79
2019-02,82
2019-03,84
2019-04,84
2019-05,90
2019-06,72
2019-07,87
2019-08,92
2019-09,86
2019-10,87
2019-11,91
2019-12,74
2020-01,80
2020-02,100
2020-03,73
2020-04,87
2020-05,73
2020-06,83
2020-07,92
2020-08,81
2020-09,93
2020-10,62
2020-11,55
2020-12,46
